vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
-1.2590445,-0.3629376,-15.92362,-6.818275,-0.029702062,-0.1645583,-5.4145937,-0.18466452,-0.048660435,-0.10059833,0
-0.47275868,-0.3936045,-12.437785,-7.02299,-0.022269122,-0.20196441,-4.505227,-0.1877833,-0.06657823,-0.31528834,0
-0.68768966,-0.122878745,-10.03763,-8.119905,-0.083102696,-0.012127741,-2.799361,-0.18175068,-0.05156801,-0.2003291,0
-0.7144544,-0.074681595,-10.547598,-6.725176,-0.07852133,-0.03527674,-6.0653095,-0.18567136,-0.029247157,-0.07804593,0
-0.50887877,-0.10764128,-11.651968,-2.6937058,-0.08274284,-0.050312843,-4.0657215,-0.16233909,-0.028986357,-0.34410512,0
0.10083959,-0.04724523,17.90944,7.829896,-0.07157895,-0.07972682,2.8042314,-0.18494877,-0.056295022,0.41227356,1
-0.9750444,-0.3602452,-13.746394,-4.4536524,-0.030496432,-0.17864703,-3.097673,-0.1867635,-0.040774554,-0.1980626,0
-0.4017698,-0.07666096,-10.290152,-6.186631,-0.06267371,-0.061476078,-3.3556027,-0.18652618,-0.03879199,-0.34620735,0
-0.3736866,-0.08191925,7.56755,-0.7287069,-0.07627898,-0.07998342,-0.6007639,-0.18770057,-0.038884602,0.31735656,0
-0.21662948,-0.0026522407,-18.979645,-2.5006797,0.0024546103,-0.24016325,-2.890444,-0.18439758,-0.05336667,0.12388278,0
-0.35141647,0.06720643,11.335524,8.736679,0.0071537364,-0.30858722,2.1680787,-0.17956248,-0.06817068,-0.12385874,1
-0.9992737,-0.4339222,-10.976989,-3.8402321,-0.013372034,-0.212743,-5.507421,-0.17291638,-0.0679379,-0.009590551,0
-0.88493675,-0.46318153,13.730837,4.8523893,-0.0044984818,-0.23504019,5.0645223,-0.18937442,-0.06256908,-0.17292991,1
-0.28036937,-0.046001744,-10.247096,-4.762266,-0.082338475,-0.01688681,-2.4854364,-0.18440121,-0.038941577,-0.3460595,0
-0.7040146,-0.17373733,-12.34951,-6.8113546,-0.047170773,-0.16762412,-2.9116104,-0.18484247,-0.043248042,-0.34576592,0
