vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
-0.6911023,-1.009769,0.6989123,-0.48608536,-0.056856096,-2.0106416,1.1007986,-0.5599543,-0.015377122,9.891162,1
-0.57243896,-0.81877774,-0.83636427,-0.5167377,-0.0542903,-2.010885,0.6421179,-0.533314,-0.014489631,10.543419,1
-1.2108258,-1.0457222,-1.2605463,-0.4513294,-0.07633583,-2.6962547,-0.7610655,-0.5772468,-0.015159736,-9.65704,0
-1.2564428,-0.90712,-1.4167153,-0.48715568,-0.053168178,-1.7954506,-0.41780117,-0.5468769,-0.014111782,-11.641355,0
-1.0675966,-0.31431103,-1.6403352,-0.50852424,-0.049868837,-1.7917061,-1.3849723,-0.6317954,-0.014720085,-8.57476,0
-0.90693104,-0.25835675,0.3352215,-0.010155756,-0.013177168,-0.3937148,-1.0117191,-0.6086072,-0.012993681,-9.197727,0
-0.987195,-0.51885706,-0.26158735,-0.10663759,-0.0144689325,-0.38357002,-1.3709251,-0.7775913,-0.0129566295,-9.528544,0
-0.96451914,-0.58874625,-0.37351212,-0.20219597,-0.014341937,-0.41645512,-1.7190603,-0.8780159,-0.013902339,-9.868696,0
0.011000618,-0.4722374,-1.4221067,-0.31714296,-0.023720914,-0.96287805,-0.14269389,-0.7804562,-0.013743441,0.05173856,1
-0.38896546,-0.27315798,-0.94185257,-0.53251815,-0.049857058,-1.8017914,-0.03780707,-0.56204164,-0.013764198,-9.807163,0
-0.14640042,-0.14388815,-0.92025256,-0.16968758,-0.029290492,-1.373526,-0.6717572,-0.6045784,-0.012811902,-8.802237,0
-0.69979054,-0.33176792,-0.4196947,-0.045696493,-0.014665207,-0.53598005,-1.005543,-0.6710403,-0.012577835,-5.3277173,0
-0.11560725,0.050473183,0.73781544,-0.0058679767,-0.011848714,-0.35843325,-0.31159654,-0.7940761,-0.012598972,-9.841707,0
1.5343125,-0.04745367,2.040615,-0.1323309,-0.06320676,-2.3143902,1.7094811,-0.61598575,-0.013923633,8.986145,1
