vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
-10.780747,-0.027980316,-11.761758,-5.26609,-1.0150045,-0.34555268,0.1673547,-0.465397,-0.02645741,1.6762893,0
18.404581,0.090209074,15.562545,7.651523,-0.8314796,-0.29055908,-0.50230324,-0.3667199,-0.65190095,1.6154708,1
-5.189119,-0.016901102,-12.342084,0.64771664,-1.0169464,-0.37856522,0.3196826,-0.403496,0.00022242405,1.6779015,0
-9.367558,-0.09424541,-12.005233,-6.7892766,-0.5821013,-0.6580021,-0.32758826,-0.4175703,-0.26693732,-1.4342892,0
-7.627097,0.0570268,-12.305574,-7.565841,-0.55859005,-0.7013979,-0.016466573,-0.3975243,-0.29229602,0.4455214,0
2.3414824,-0.022652704,18.226778,1.0219135,-1.0469792,-0.34566447,0.41326922,-0.4158193,-0.00878809,1.6781594,1
3.5030808,-0.0033186567,-9.072487,-3.4661522,-0.8634539,-0.47067258,-0.20074724,-0.35454637,-0.20706761,-0.53226596,0
15.214379,-0.033846613,17.346373,8.382463,-0.5897339,-0.38155445,-0.44266096,-0.4936732,-0.44548127,1.65788,1
4.555647,-0.043374334,18.084679,3.8924139,-0.9499242,-0.47675157,0.29816508,-0.4584687,-0.030738253,1.5177373,1
6.8231316,-0.10377346,14.006776,2.3374386,-0.73540616,-0.54696983,-0.31660825,-0.48067528,-0.2979411,1.181111,1
8.461963,-0.031823378,14.934594,4.68057,-1.0219849,-0.49974534,-0.010935589,-0.4732266,-0.31659445,1.536856,1
10.295082,-0.059098452,15.582803,5.563649,-0.57562655,-0.18501556,-0.5155327,-0.40108508,-0.80086386,1.6166152,1
-16.433811,-0.34916002,-12.730576,-6.9754925,-0.22810782,-0.6296225,-0.040095255,-0.35430375,-0.6960482,-1.4285029,0
-11.824892,-0.06465931,-13.8971815,-8.242701,-0.88427347,-0.5648714,0.29580584,-0.48144734,-0.038138047,-1.0307623,0
6.061218,-0.15963703,14.64243,4.2736974,-0.8025667,-0.50995463,0.19943894,-0.46191984,-0.071031556,1.632181,1
-12.110162,-0.033995245,-14.617093,-7.926807,-0.68120795,-0.24657007,-0.29472885,-0.44496262,-0.80205244,-1.3253042,0
6.0048795,0.048912253,14.372941,1.2781316,-0.3910374,-0.71546364,-0.13012679,-0.46829653,-0.27561393,1.6183416,1
-6.935156,-0.024934303,2.9299076,-3.8216035,-1.0729121,-0.30759868,-0.4694956,-0.46462524,-0.74484783,1.6319079,0
-11.048658,-0.09827279,-12.505473,-7.444829,-0.9744524,-0.405108,-0.31048492,-0.375508,-0.44446412,-1.1335868,0
7.7880783,-0.022897813,13.535966,1.6668656,-0.99490047,-0.43461594,0.38978085,-0.46777597,-0.006859973,1.6785024,1
-11.196069,-0.032033805,-12.70481,-9.032844,-1.0315014,-0.35841975,0.2657191,-0.4831606,-0.036409967,1.6753322,0
-5.21002,-0.20833282,-12.603459,-13.332331,-0.5018769,-0.7698695,-0.04529807,-0.3506378,-0.5881104,-0.39262417,0
-0.9799005,-0.14497495,-2.3495135,2.137008,-0.83873516,-0.17667444,-0.52458185,-0.38470307,-0.80296195,1.6596243,0
-6.2938004,-0.13358957,-11.945395,-6.304643,-0.95338786,-0.3462399,-0.237071,-0.40199864,-0.43618628,-1.1469077,0
4.8982906,-0.025942128,16.367422,2.0227492,-0.9307966,-0.26368752,-0.13539006,-0.24533731,-0.24193855,1.1885575,1
-8.848119,-0.07302009,-12.278365,-4.0138764,-0.65576273,-0.7281862,-0.014652773,-0.45699146,-0.29435,-1.3307247,0
-2.2969422,-0.27503344,-6.974142,-8.464047,-0.7929216,-0.4843547,-0.20162687,-0.44909555,-0.3241153,0.5414447,0
-5.391215,-0.22989222,-12.877202,-6.065216,-0.6785609,-0.2623045,-0.5836294,-0.3254541,-0.59330946,0.07877444,0
10.244598,-0.4310237,16.186378,3.7122583,-0.37850827,-0.4207702,-0.3592791,-0.38302416,-0.31369695,1.6557715,1
3.656793,-0.20872605,4.8997355,5.09726,-0.9670824,-0.1871343,-0.42498124,-0.4709067,-0.92413205,1.5279229,1
-11.079823,-0.18209034,-13.641969,-0.77030915,-0.6090092,-0.35536215,-0.19118445,-0.44377467,-1.7975111,-0.17728849,0
-4.0611153,-0.15231267,-13.5564,-4.0024185,-0.79665333,-0.19508874,-0.16805243,-0.45844296,-1.011879,-1.3799347,0
-5.6875744,-0.2662285,-14.026305,-4.060316,-0.7003873,-0.4246116,-0.49551478,-0.3179047,-0.78812927,-1.4101659,0
-7.2209444,-0.20740485,-12.063378,-5.031367,-1.0025653,-0.323615,-0.023187667,-0.34090468,-0.16827773,1.4114248,0
